Vehicles,Column1,Month,Year,Units,Vehicles.1,Vehicles_Cleaned,Classification,Category.1,Date
Honda Civic,Prod.,Jul,2007,554.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2007-07-01
Honda Civic,Prod.,Aug,2007,533.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2007-08-01
Honda Civic,Prod.,Sep,2007,405.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2007-09-01
Honda Civic,Prod.,Oct,2007,662.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2007-10-01
Honda Civic,Prod.,Nov,2007,423.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2007-11-01
Honda Civic,Prod.,Dec,2007,363.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2007-12-01
Honda Civic,Prod.,Jan,2008,477.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2008-01-01
Honda Civic,Prod.,Feb,2008,598.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2008-02-01
Honda Civic,Prod.,Mar,2008,332.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2008-03-01
Honda Civic,Prod.,Apr,2008,419.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2008-04-01
Honda Civic,Prod.,May,2008,418.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2008-05-01
Honda Civic,Prod.,Jun,2008,629.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2008-06-01
Honda Civic,Sale,Jul,2007,418.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2007-07-01
Honda Civic,Sale,Aug,2007,630.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2007-08-01
Honda Civic,Sale,Sep,2007,305.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2007-09-01
Honda Civic,Sale,Oct,2007,581.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2007-10-01
Honda Civic,Sale,Nov,2007,348.0,Honda Civic,Honda Cars (Civic & City),1300cc and Above,CARS,2007-11-01
